Start date; Duration; Assigned task;Category;Type
21/10/21 21:39;60;Programación para la ciencia de datos;Programming;Levelling
21/10/21 23:44;60;Programación para la ciencia de datos;Programming;Levelling
22/10/21 19:04;60;Tipología y ciclo de vida de los datos;Miscellany;Master
23/10/21 11:14;60;Tipología y ciclo de vida de los datos;Miscellany;Master
23/10/21 12:14;60;Tipología y ciclo de vida de los datos;Miscellany;Master
23/10/21 14:51;60;Tipología y ciclo de vida de los datos;Miscellany;Master
23/10/21 16:08;60;Programación en scripting;Programming;Levelling
23/10/21 18:12;60;Programación en scripting;Programming;Levelling
23/10/21 19:17;60;Programación en scripting;Programming;Levelling
24/10/21 11:17;60;Tipología y ciclo de vida de los datos;Miscellany;Master
24/10/21 12:17;60;Tipología y ciclo de vida de los datos;Miscellany;Master
24/10/21 13:38;60;Programación en scripting;Programming;Levelling
25/10/21 8:59;60;Tipología y ciclo de vida de los datos;Miscellany;Master
25/10/21 10:40;60;Tipología y ciclo de vida de los datos;Miscellany;Master
25/10/21 18:09;60;Minería de datos;Programming;Levelling
25/10/21 19:24;60;Minería de datos;Programming;Levelling
25/10/21 20:39;60;Minería de datos;Programming;Levelling
25/10/21 23:20;60;Minería de datos;Programming;Levelling
26/10/21 12:41;60;Minería de datos;Programming;Levelling
26/10/21 14:10;60;Minería de datos;Programming;Levelling
26/10/21 22:40;60;Minería de datos;Programming;Levelling
26/10/21 23:41;60;Minería de datos;Programming;Levelling
27/10/21 10:02;60;Minería de datos;Programming;Levelling
27/10/21 11:03;60;Minería de datos;Programming;Levelling
27/10/21 12:18;60;Minería de datos;Programming;Levelling
27/10/21 13:40;60;Minería de datos;Programming;Levelling
27/10/21 14:42;60;Minería de datos;Programming;Levelling
27/10/21 18:01;60;Minería de datos;Programming;Levelling
27/10/21 19:03;60;Minería de datos;Programming;Levelling
27/10/21 20:08;60;Minería de datos;Programming;Levelling
27/10/21 21:08;60;Minería de datos;Programming;Levelling
28/10/21 12:33;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
29/10/21 11:37;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
29/10/21 13:00;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
30/10/21 11:42;60;Programación en scripting;Programming;Levelling
30/10/21 12:47;60;Programación en scripting;Programming;Levelling
30/10/21 14:04;60;Programación en scripting;Programming;Levelling
30/10/21 18:26;60;Programación en scripting;Programming;Levelling
30/10/21 19:47;60;Programación en scripting;Programming;Levelling
30/10/21 20:49;60;Programación en scripting;Programming;Levelling
31/10/21 10:08;60;Programación en scripting;Programming;Levelling
31/10/21 11:56;60;Programación en scripting;Programming;Levelling
31/10/21 13:01;60;Programación en scripting;Programming;Levelling
31/10/21 14:37;60;Programación en scripting;Programming;Levelling
31/10/21 15:38;60;Programación en scripting;Programming;Levelling
31/10/21 16:38;60;Programación en scripting;Programming;Levelling
31/10/21 18:49;60;Fundamentos de la ciencia de datos;Miscellany;Master
2/11/21 11:59;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
2/11/21 12:59;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
2/11/21 14:38;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
2/11/21 20:48;60;Tipología y ciclo de vida de los datos;Miscellany;Master
2/11/21 21:48;60;Tipología y ciclo de vida de los datos;Miscellany;Master
2/11/21 23:06;60;Tipología y ciclo de vida de los datos;Miscellany;Master
3/11/21 10:20;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
3/11/21 12:11;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
3/11/21 13:14;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
3/11/21 14:46;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
3/11/21 17:56;60;Tipología y ciclo de vida de los datos;Miscellany;Master
3/11/21 18:56;60;Tipología y ciclo de vida de los datos;Miscellany;Master
3/11/21 20:39;60;Tipología y ciclo de vida de los datos;Miscellany;Master
3/11/21 23:36;60;Tipología y ciclo de vida de los datos;Miscellany;Master
4/11/21 11:30;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
4/11/21 13:05;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
4/11/21 17:21;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
4/11/21 18:21;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
4/11/21 20:48;60;Tipología y ciclo de vida de los datos;Miscellany;Master
4/11/21 21:48;60;Tipología y ciclo de vida de los datos;Miscellany;Master
5/11/21 12:10;60;Tipología y ciclo de vida de los datos;Miscellany;Master
5/11/21 13:11;60;Tipología y ciclo de vida de los datos;Miscellany;Master
5/11/21 14:17;60;Tipología y ciclo de vida de los datos;Miscellany;Master
5/11/21 17:36;60;Tipología y ciclo de vida de los datos;Miscellany;Master
5/11/21 18:36;60;Tipología y ciclo de vida de los datos;Miscellany;Master
6/11/21 8:47;60;Tipología y ciclo de vida de los datos;Miscellany;Master
6/11/21 9:53;60;Tipología y ciclo de vida de los datos;Miscellany;Master
6/11/21 11:28;60;Tipología y ciclo de vida de los datos;Miscellany;Master
6/11/21 12:28;60;Tipología y ciclo de vida de los datos;Miscellany;Master
6/11/21 13:28;60;Tipología y ciclo de vida de los datos;Miscellany;Master
6/11/21 19:42;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
6/11/21 20:42;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
7/11/21 13:26;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
7/11/21 14:26;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
7/11/21 17:30;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
7/11/21 18:30;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
7/11/21 20:32;60;Tipología y ciclo de vida de los datos;Miscellany;Master
7/11/21 21:32;60;Tipología y ciclo de vida de los datos;Miscellany;Master
7/11/21 22:54;60;Tipología y ciclo de vida de los datos;Miscellany;Master
7/11/21 23:54;60;Tipología y ciclo de vida de los datos;Miscellany;Master
8/11/21 12:03;60;Tipología y ciclo de vida de los datos;Miscellany;Master
